UF,Municipio,Municipio_UF,Estado,Unidade_Federativa,Regiao,CEP,Endereco,Bairro,Endereco_Completo,Latitude,Longitude,Tipo_Servico,Nome_Servico,Telefone,Outro_Telefone,Email,Site,Rede_Social,Fonte_URL,Data_Extracao,Ultima_Atualizacao_Modelo
AC,Sena Madureira,"Sena Madureira,AC,Brasil",ACRE,Acre,Norte,69940-000,"Maranhão, 274",N/i,"Maranhão, 274,Sena Madureira-AC,69940-000",-9.0606093,-68.6607782,"Centros de Referência (ou de Atendimento) à Mulher em situação de violência / Núcleos de Atendimento à Mulher em situação de Violência, Centros Integrados da Mulher)",Centro De Atendimento À Mulher Em Sena Madureira,(68) 3612-2476,(68) 9996-30143,CEAMSENAAC@OUTLOOK.COM,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Sena Madureira,"Sena Madureira,AC,Brasil",ACRE,Acre,Norte,N/i,RUA MARANHÃO,N/i,"RUA MARANHÃO,Sena Madureira-AC,N/i",-9.0693935,-68.6620791,"Centros de Referência (ou de Atendimento) à Mulher em situação de violência / Núcleos de Atendimento à Mulher em situação de Violência, Centros Integrados da Mulher)",Centro Especializado De Atendimento A Mulher (Ceam),(68) 99963-0143,(68) 3612-2476,CEAMSENAAC@OUTLOOK.COM,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AC,Tarauacá,"Tarauacá,AC,Brasil",ACRE,Acre,Norte,69970-000,"Av. Antônio Frota, 459 - Centro",Centro,"Av. Antônio Frota, 459 - Centro,Tarauacá-AC,69970-000",-8.1592413999999991,-70.7688604,Patrulha Maria da Penha,Patrulha Maria Da Penha,(68) 3462-1499,N/i,N/I,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AL,Arapiraca,"Arapiraca,AL,Brasil",ALAGOAS,Alagoas,Nordeste,57300-010,"RUA PROFESSOR DOMINGUES CORREIA, Nº 35 - BAIRRO: CENTRO",N/i,"RUA PROFESSOR DOMINGUES CORREIA, Nº 35 - BAIRRO: CENTRO,Arapiraca-AL,57300-010",-9.7514848,-36.6614633,Delegacias Especializadas de Atendimento à Mulher e Postos ou Seções da Polícia de Atendimento à Mulher),Delegacia De Defesa Das Mulheres (Ddm),(82) 3521-6318,N/i,DEDDMA@PC.AL.GOV.BR,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AL,Arapiraca,"Arapiraca,AL,Brasil",ALAGOAS,Alagoas,Nordeste,57310-245,"Rua Samaritana, 160, Edf. Juiz Pedro Medeiros, Santa Edwiges Pereira (Complexo Integrado de Justiça Especializada Desembargador Paulo da Rocha Mendes)",N/i,"Rua Samaritana, 160, Edf. Juiz Pedro Medeiros, Santa Edwiges Pereira (Complexo Integrado de Justiça Especializada Desembargador Paulo da Rocha Mendes),Arapiraca-AL,57310-245",-9.7374679,-36.656548,Juizados e Varas Especializadas de Violência Doméstica e Familiar contra a Mulher,Juizado Da Violência Doméstica E Familiar Contra A Mulher,(82) 3482-1695,N/i,jcmulherara@tjal.jus.br,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AL,Arapiraca,"Arapiraca,AL,Brasil",ALAGOAS,Alagoas,Nordeste,57315-745,AL 220 KM 5 S/N SENADOR ARNON DE MEL,N/i,"AL 220 KM 5 S/N SENADOR ARNON DE MEL,Arapiraca-AL,57315-745",-9.6427557,-36.9860462,Serviços de Saúde a Pessoas em situação de violência sexual,Unidade De Emergencia Dr Daniel Houly,(82) 3539-8634,N/i,ueagreste@saude.al.gov.br,N/i,Unidade de Saúde,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AL,Arapiraca,"Arapiraca,AL,Brasil",ALAGOAS,Alagoas,Nordeste,N/i,"Rua Dr. Antônio Barbosa da Silva, s/n. Canafístula Arapiraca",N/i,"Rua Dr. Antônio Barbosa da Silva, s/n. Canafístula Arapiraca,Arapiraca-AL,N/i",-9.759393,-36.6369304,"Centros de Referência (ou de Atendimento) à Mulher em situação de violência / Núcleos de Atendimento à Mulher em situação de Violência, Centros Integrados da Mulher)",Centro De Referência E Atendimento À Mulher Em Situação De Violência (Cramsv),(82) 99809-9037,"(82) 996081561, (82) 996184241, (82) 996639386",cramsvmulher@gmail.com,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AL,Delmiro Gouveia,"Delmiro Gouveia,AL,Brasil",ALAGOAS,Alagoas,Nordeste,57480-000,"Rua 21 de Abril, s/nº",N/i,"Rua 21 de Abril, s/nº,Delmiro Gouveia-AL,57480-000",-9.3821114,-38.0004739,Delegacias Especializadas de Atendimento à Mulher e Postos ou Seções da Polícia de Atendimento à Mulher),Núcleo De Atendimento À Mulher Em Situação De Violência – Delegacia Regional De Delmiro Gouveia,"(82) 3641-5368, (82) 98833-8879",N/i,1drp@pc.al.gov.br / rodrigorcavalcanti@gmail.com,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AL,Delmiro Gouveia,"Delmiro Gouveia,AL,Brasil",ALAGOAS,Alagoas,Nordeste,N/i,"Rua Marechal Hermes da Fonseca, 159, El Dourado, Delmiro Gouveia/AL",N/i,"Rua Marechal Hermes da Fonseca, 159, El Dourado, Delmiro Gouveia/AL,Delmiro Gouveia-AL,N/i",-9.3750272,-37.999495300000007,"Centros de Referência (ou de Atendimento) à Mulher em situação de violência / Núcleos de Atendimento à Mulher em situação de Violência, Centros Integrados da Mulher)",Centro De Referência De Atendimento À Mulher Em Situação De Violência De Delmiro Gouveia/Al,"(82) 98124-7142, (82) 99932-7420",(82) 981743644,ceamdelgouveia@hotmail.com,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AL,Maceió,"Maceió,AL,Brasil",ALAGOAS,Alagoas,Nordeste, 57031-530,"1765, Av. Comendador Gustavo Paiva, 1725 - Mangabeiras",N/i,"1765, Av. Comendador Gustavo Paiva, 1725 - Mangabeiras,Maceió-AL, 57031-530",-9.6449605,-35.7127288,Delegacias Especializadas de Atendimento à Mulher e Postos ou Seções da Polícia de Atendimento à Mulher),1ª Delegacia Especializada De Defesa Dos Direitos Da Mulher (Deddm),"(82) 3315-4976, (82) 9883-38880",N/i,DEDDM1@PC.AL.GOV.BR,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AL,Maceió,"Maceió,AL,Brasil",ALAGOAS,Alagoas,Nordeste,57014-260,"R. Cabo Reis, s/n - Ponta Grossa",N/i,"R. Cabo Reis, s/n - Ponta Grossa,Maceió-AL,57014-260",-9.6601088,-35.7556284,Serviços de Saúde a Pessoas em situação de violência sexual,Upa 24 Horas Trapiche Da Barra,N/i,N/i,N/I,N/i,Unidade de Saúde,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
AL,Maceió,"Maceió,AL,Brasil",ALAGOAS,Alagoas,Nordeste,57020-120,"PRAÇA SINIMBÚ, N. 119, CENTRO",N/i,"PRAÇA SINIMBÚ, N. 119, CENTRO,Maceió-AL,57020-120",-9.668085,-35.7336926,Núcleos de Defesa da Mulher nas Defensorias Públicas,Núcleo De Defesa Dos Direitos Da Mulher Da Defensoria Pública,(82) 2126-9670,(82) 98833-2914,DEFENSORIA.NUDEM.2006@GMAIL.COM  -   NUCLEO.DEFESAMULHER@MPAL.MP.BR,N/i,N/i,https://www.gov.br/mulheres/pt-br/ligue180/painel-da-rede-de-atendimento,2026-09-19T13:16:38.429332+00:00,2026-08-12T19:48:19.783000+00:00
